First Name,Last Name,Grad Year,Grade 2026,Birth Date,Role
Ava,Martinez,2027,11,3/14/2010,Swim
Liam,Chen,2026,12,7/2/2009,Swim
Noah,Patel,2028,10,1/22/2011,Swim
Emma,Johnson,2029,9,11/5/2012,Swim
Olivia,Reyes,2026,12,2/19/2009,Dive
Ethan,Nguyen,2027,11,9/9/2010,Dive
Sophia,Brooks,2028,10,4/3/2011,Swim
Mason,Kowalski,2026,12,6/17/2009,Swim
Isabella,Torres,2029,9,12/1/2012,Swim
Lucas,Whitfield,2027,11,5/28/2010,Swim
Mia,Delgado,2028,10,8/14/2011,Swim
James,Okafor,2026,12,10/30/2009,Swim
Charlotte,Petrov,2029,9,3/8/2012,Dive
Benjamin,Larsen,2027,11,1/16/2010,Swim
Amelia,Fitzgerald,2028,10,7/25/2011,Swim
Henry,Silva,2026,12,2/2/2009,Swim
Evelyn,Kowalczyk,2029,9,9/19/2012,Swim
Alexander,Hoffmann,2027,11,11/11/2010,Swim
Harper,Sullivan,2028,10,4/30/2011,Swim
Daniel,Marchetti,2026,12,6/6/2009,Swim
Abigail,Yamamoto,2029,9,1/1/2013,Swim
Matthew,Boucher,2027,11,10/12/2010,Swim
Emily,Castellano,2028,10,3/3/2011,Swim
Joseph,Abernathy,2026,12,8/8/2009,Swim
Elizabeth,Nakamura,2029,9,5/5/2012,Swim
Samuel,Vasquez,2027,11,12/12/2010,Swim
Grace,Whitmore,2028,10,7/7/2011,Swim
David,Kimura, ,,10/10/2009,Swim
Coach,Anderson,Coach,,,Adult
Coach,Bianchi,Coach,,,Adult
Coach,Delacroix,Coach,,,Adult
Nurse,Ferreira,Med,,,Adult
